epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,train/sem_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,val/sem_loss,lr/pg0,lr/pg1,lr/pg2
1,1.08322,0.85686,1.92141,3.75081,1.00345,0,0.00192,0.25,0.06246,0.05156,0.00192,0.25,0.06246,0.05987,0.57334,0.91872,4.01794,0.94102,0,3.75e-05,3.75e-05,3.75e-05
2,1.53889,0.83881,1.60476,3.82086,0.9862,0,0.00498,0.25,0.13889,0.13889,0.00498,0.25,0.13889,0.13889,0.50091,0.75262,3.81439,0.86899,0,8.66338e-05,8.66338e-05,8.66338e-05
3,2.04553,0.64588,0.96896,3.40199,0.88614,0,0.02083,0.25,0.24875,0.24875,0.02083,0.25,0.24875,0.24875,0.54782,0.64432,3.67572,0.82517,0,0.000134777,0.000134777,0.000134777
4,2.55257,0.65697,0.79467,2.76947,0.83932,0,0.01506,0.25,0.24875,0.23978,0.01603,0.375,0.24984,0.2422,0.43942,0.62845,3.6067,0.80462,0,0.000181931,0.000181931,0.000181931
5,3.01842,0.59474,0.75074,2.09345,0.85432,0,0.98303,0.25,0.24875,0.2328,0.98303,0.25,0.25241,0.23653,0.48227,0.64225,3.45101,0.80799,0,0.000228095,0.000228095,0.000228095
6,3.47962,0.5264,0.69143,1.72651,0.82949,0,1,0.22892,0.24875,0.2328,1,0.22892,0.25277,0.24086,0.46701,0.67999,3.38396,0.80711,0,0.000273269,0.000273269,0.000273269
7,3.93785,0.64086,0.71173,1.71298,0.84764,0,1,0.20691,0.2502,0.24963,1,0.20691,0.25115,0.25032,0.45886,0.53441,3.34866,0.80546,0,0.000317452,0.000317452,0.000317452
8,4.39456,0.62554,0.6366,1.593,0.83841,0,1,0.11675,0.27738,0.27425,1,0.11675,0.27807,0.26632,0.51354,0.52324,3.3262,0.80968,0,0.000360646,0.000360646,0.000360646
9,4.87601,0.58126,0.60485,1.4114,0.85042,0,1,0.11824,0.369,0.35163,1,0.11824,0.369,0.33583,0.57578,0.61569,3.26734,0.81746,0,0.00040285,0.00040285,0.00040285
10,5.33562,0.55938,0.57359,1.34026,0.84973,0,1,0.15085,0.43717,0.42202,1,0.15085,0.43732,0.40555,0.4775,0.66205,3.22458,0.8092,0,0.000444064,0.000444064,0.000444064
11,5.82294,0.56822,0.57352,1.28878,0.85353,0,1,0.16625,0.45688,0.42947,1,0.16625,0.45688,0.43349,0.50786,0.58671,3.18943,0.8183,0,0.000484288,0.000484288,0.000484288
12,6.281,0.60858,0.63661,1.29471,0.85205,0,1,0.18138,0.52057,0.46524,1,0.18138,0.52057,0.48224,0.53637,0.58206,3.13957,0.82618,0,0.000523521,0.000523521,0.000523521
13,6.74018,0.60282,0.58171,1.23657,0.86049,0,1,0.19938,0.62626,0.55915,1,0.19938,0.62626,0.57192,0.56962,0.53511,3.08658,0.82875,0,0.000561765,0.000561765,0.000561765
14,7.19876,0.56366,0.5474,1.11313,0.83708,0,1,0.21024,0.85921,0.70901,1,0.21024,0.85921,0.7362,0.66173,0.55538,2.98839,0.84489,0,0.000599019,0.000599019,0.000599019
15,7.64579,0.53702,0.46531,1.17658,0.84645,0,0.98271,0.25,0.91839,0.77439,0.98271,0.25,0.91839,0.75656,0.61637,0.7018,2.89899,0.83368,0,0.000635282,0.000635282,0.000635282
16,8.08125,0.55329,0.5435,1.02128,0.83956,0,0.98271,0.25,0.91839,0.77439,0.98271,0.25,0.91839,0.75656,0.61637,0.7018,2.89899,0.83368,0,0.000670556,0.000670556,0.000670556
17,8.53043,0.56803,0.5547,1.04203,0.84299,0,0.977,0.25,0.98929,0.86912,0.977,0.25,0.98929,0.8448,0.5351,0.62636,2.78427,0.82222,0,0.00070484,0.00070484,0.00070484
18,8.98193,0.57423,0.49947,0.93693,0.82178,0,0.96217,0.25,0.995,0.87828,0.96217,0.25,0.995,0.8182,0.54416,0.67167,2.54757,0.82022,0,0.000738134,0.000738134,0.000738134
19,9.41704,0.56988,0.51076,0.93989,0.84483,0,0.96217,0.25,0.995,0.87828,0.96217,0.25,0.995,0.8182,0.54416,0.67167,2.54757,0.82022,0,0.000770438,0.000770438,0.000770438
20,9.87503,0.57782,0.49404,0.98356,0.84042,0,0.95867,0.31213,0.995,0.89202,0.95867,0.31213,0.995,0.83851,0.52276,0.58322,2.25199,0.81568,0,0.000801751,0.000801751,0.000801751
21,10.3607,0.60772,0.53743,0.86987,0.83501,0,0.95893,0.49595,0.995,0.8979,0.95893,0.49595,0.995,0.88153,0.49994,0.52687,2.08435,0.81247,0,0.000832075,0.000832075,0.000832075
22,10.796,0.59335,0.53674,0.89873,0.86092,0,0.95893,0.49595,0.995,0.8979,0.95893,0.49595,0.995,0.88153,0.49994,0.52687,2.08435,0.81247,0,0.000861409,0.000861409,0.000861409
23,11.2435,0.57461,0.52024,0.85047,0.83986,0,0.95843,0.61077,0.995,0.92355,0.95843,0.61077,0.995,0.8688,0.47897,0.53299,1.88518,0.81131,0,0.000889753,0.000889753,0.000889753
24,11.687,0.56801,0.52464,0.85447,0.84995,0,0.95843,0.61077,0.995,0.92355,0.95843,0.61077,0.995,0.8688,0.47897,0.53299,1.88518,0.81131,0,0.000917106,0.000917106,0.000917106
25,12.1455,0.5567,0.47343,0.84824,0.85685,0,0.94392,0.93395,0.995,0.88598,0.94392,0.93395,0.995,0.85948,0.55805,0.49342,1.5128,0.82433,0,0.00094347,0.00094347,0.00094347
26,12.5864,0.53661,0.50866,0.83652,0.81614,0,0.94392,0.93395,0.995,0.88598,0.94392,0.93395,0.995,0.85948,0.55805,0.49342,1.5128,0.82433,0,0.000940625,0.000940625,0.000940625
27,13.0236,0.53837,0.49624,0.84553,0.82356,0,0.91368,0.9454,0.995,0.8987,0.91368,0.9454,0.995,0.8751,0.48026,0.48409,1.3923,0.81455,0,0.00092825,0.00092825,0.00092825
28,13.4461,0.53803,0.52307,0.88444,0.85293,0,0.91368,0.9454,0.995,0.8987,0.91368,0.9454,0.995,0.8751,0.48026,0.48409,1.3923,0.81455,0,0.000915875,0.000915875,0.000915875
29,13.8814,0.53811,0.53212,0.84739,0.83952,0,0.89858,0.9803,0.995,0.89211,0.89858,0.9803,0.995,0.90216,0.47013,0.48557,1.42497,0.81591,0,0.0009035,0.0009035,0.0009035
30,14.3368,0.53009,0.45789,0.83749,0.85552,0,0.89858,0.9803,0.995,0.89211,0.89858,0.9803,0.995,0.90216,0.47013,0.48557,1.42497,0.81591,0,0.000891125,0.000891125,0.000891125
31,14.7855,0.53739,0.4646,0.80976,0.84332,0,0.91179,0.99335,0.995,0.89968,0.91179,0.99335,0.995,0.87913,0.49548,0.51484,1.17569,0.82515,0,0.00087875,0.00087875,0.00087875
32,15.2226,0.50232,0.46384,0.8281,0.85011,0,0.91179,0.99335,0.995,0.89968,0.91179,0.99335,0.995,0.87913,0.49548,0.51484,1.17569,0.82515,0,0.000866375,0.000866375,0.000866375
33,15.6792,0.52815,0.49157,0.79997,0.82262,0,0.92851,0.9853,0.995,0.90976,0.92851,0.9853,0.995,0.88421,0.43662,0.48354,1.05165,0.8143,0,0.000854,0.000854,0.000854
34,16.1197,0.53083,0.49752,0.80353,0.86097,0,0.92851,0.9853,0.995,0.90976,0.92851,0.9853,0.995,0.88421,0.43662,0.48354,1.05165,0.8143,0,0.000841625,0.000841625,0.000841625
35,16.5564,0.50781,0.46837,0.78247,0.8479,0,0.93974,0.99812,0.995,0.9166,0.93974,0.99812,0.995,0.88515,0.38878,0.45721,0.9336,0.80238,0,0.00082925,0.00082925,0.00082925
36,17.0113,0.50026,0.43429,0.76376,0.8558,0,0.93974,0.99812,0.995,0.9166,0.93974,0.99812,0.995,0.88515,0.38878,0.45721,0.9336,0.80238,0,0.000816875,0.000816875,0.000816875
37,17.4733,0.45818,0.46097,0.75828,0.82933,0,0.9304,1,0.995,0.91874,0.9304,1,0.995,0.89989,0.39906,0.45878,0.8524,0.80042,0,0.0008045,0.0008045,0.0008045
38,17.9178,0.47532,0.44408,0.77847,0.84933,0,0.9304,1,0.995,0.91874,0.9304,1,0.995,0.89989,0.39906,0.45878,0.8524,0.80042,0,0.000792125,0.000792125,0.000792125
39,18.3803,0.50141,0.47255,0.74151,0.81645,0,0.95704,0.99302,0.995,0.88139,0.95704,0.99302,0.995,0.90331,0.49045,0.44531,0.77656,0.81354,0,0.00077975,0.00077975,0.00077975
40,18.8334,0.4779,0.45885,0.73203,0.81335,0,0.95704,0.99302,0.995,0.88139,0.95704,0.99302,0.995,0.90331,0.49045,0.44531,0.77656,0.81354,0,0.000767375,0.000767375,0.000767375
41,19.2855,0.47109,0.4105,0.69372,0.81521,0,0.95283,0.99333,0.995,0.89252,0.95283,0.99333,0.995,0.8931,0.48748,0.45754,0.78606,0.8142,0,0.000755,0.000755,0.000755
42,19.7268,0.44483,0.45144,0.6839,0.8208,0,0.95283,0.99333,0.995,0.89252,0.95283,0.99333,0.995,0.8931,0.48748,0.45754,0.78606,0.8142,0,0.000742625,0.000742625,0.000742625
43,20.1829,0.45376,0.43509,0.70126,0.80978,0,0.95584,0.99372,0.995,0.91034,0.95584,0.99372,0.995,0.90853,0.41782,0.45045,0.82194,0.80674,0,0.00073025,0.00073025,0.00073025
44,20.6412,0.46065,0.4407,0.67814,0.84914,0,0.95584,0.99372,0.995,0.91034,0.95584,0.99372,0.995,0.90853,0.41782,0.45045,0.82194,0.80674,0,0.000717875,0.000717875,0.000717875
45,21.1097,0.4578,0.42557,0.73126,0.87045,0,0.95931,1,0.995,0.91717,0.95931,1,0.995,0.89836,0.38282,0.47402,0.76138,0.8027,0,0.0007055,0.0007055,0.0007055
46,21.5498,0.4649,0.46668,0.72779,0.82167,0,0.95931,1,0.995,0.91717,0.95931,1,0.995,0.89836,0.38282,0.47402,0.76138,0.8027,0,0.000693125,0.000693125,0.000693125
47,21.9999,0.46075,0.49315,0.72429,0.83112,0,0.97371,1,0.995,0.91955,0.97371,1,0.995,0.90183,0.37022,0.43557,0.65621,0.8027,0,0.00068075,0.00068075,0.00068075
